,Name,POS,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
137,Bryson Stott,2B,1.4290535063325176,584.195,12.7601,72.1645,61.6657,22.1442,0.32201,0.401251,0.7232609999999999,0.314346
138,Alec Bohm,1B/3B,1.0,594.993,16.2321,71.3524,76.4423,3.96896,0.325788,0.419191,0.744978,0.322279
139,Bryan De La Cruz,OF,1.0,561.169,19.6496,62.9606,69.0742,4.3185199999999995,0.315182,0.439032,0.754214,0.32360300000000003
140,Anthony Rizzo,1B,1.0,508.731,20.6367,63.4957,63.6358,3.27303,0.32945599999999997,0.423271,0.752727,0.327345
141,Zach Neto,SS,1.0,534.0319999999999,17.5782,65.6395,62.7136,9.8152,0.325705,0.41857,0.744275,0.323689
142,Thairo Estrada,2B/SS,1.0,567.548,14.8332,70.6279,59.0492,22.8111,0.315129,0.40265,0.717779,0.312279
143,Mitch Garver,C/DH,1.0,441.101,20.6435,53.9992,59.2352,0.9405459999999999,0.33066599999999996,0.44213199999999997,0.772798,0.33435
144,Jung Hoo Lee,OF,0.6760540424678668,582.488,9.88824,70.294,59.583,8.844,0.352375,0.425957,0.778331,0.337534
145,Joc Pederson,OF/DH,0.005050441816880302,425.986,17.9061,55.2921,58.5036,1.27149,0.345306,0.460013,0.80532,0.345146
146,Kris Bryant,OF/DH,-0.7330473111487732,489.031,16.5091,63.2624,55.4745,2.29049,0.341907,0.441141,0.783048,0.33976799999999996
147,Jarred Kelenic,OF,-0.8095717153705384,484.905,16.2846,61.9541,59.8104,13.7748,0.31656,0.421229,0.737789,0.317799
148,Nelson Velazquez,OF,-1.01684049072212,403.461,23.0866,50.6555,53.8134,6.2358199999999995,0.30378299999999997,0.479548,0.783331,0.332
149,Jeremy Pena,SS,-1.1892232734052954,597.14,14.9443,74.3367,62.8505,12.8258,0.31348200000000004,0.39942300000000003,0.712906,0.310082
150,J.P. Crawford,SS,-1.3303754367392882,625.842,12.5505,79.5856,57.5549,3.33017,0.350752,0.383596,0.734348,0.325862
151,Jake Fraley,OF/DH,-1.4557721079556512,409.47,14.587,51.9046,53.7331,16.4059,0.339179,0.42954799999999993,0.768727,0.333459
152,Jake Cronenworth,1B/2B,-1.5849587337456574,583.198,14.4364,69.3005,65.4078,5.29239,0.32655,0.402796,0.729346,0.31758800000000004
153,Jackson Chourio,OF,-1.813148626650212,520.988,15.3603,61.6813,62.3375,21.1571,0.30027600000000004,0.408956,0.709232,0.305218
154,Justin Turner,1B/DH,-2.152444761211421,514.807,15.4599,61.683,66.8164,2.77311,0.329337,0.413038,0.742375,0.323488
155,Jonah Heim,C,-2.1871921005826103,483.26,17.5461,54.6865,65.5137,1.96075,0.30993899999999996,0.42404200000000003,0.733981,0.316246
156,Jose Siri,OF,-2.3476114151613547,457.149,20.0116,60.396,57.0427,18.9766,0.276865,0.422415,0.699279,0.298975
157,Austin Hays,OF,-2.575275996775224,550.01,16.8196,66.8059,64.8132,4.48471,0.310321,0.41854600000000003,0.728867,0.314882
158,Brendan Rodgers,2B,-2.606820693641919,512.738,14.0893,62.0811,61.4478,0.282596,0.331425,0.43344799999999994,0.7648739999999999,0.330793
159,Matt Wallner,OF,-2.836857995928926,446.227,17.4396,55.7938,56.7561,3.09658,0.334529,0.430016,0.7645460000000001,0.331998
160,Brendan Donovan,2B/OF,-2.8969091791156383,508.379,10.370999999999999,66.4472,50.775,6.12426,0.361942,0.40136700000000003,0.763308,0.336638
161,Bo Naylor,C,-3.233127358752312,439.417,15.8512,51.9089,53.7508,7.53712,0.327671,0.413786,0.7414569999999999,0.322847
162,Brandon Marsh,OF,-3.398615682305828,485.86699999999996,13.0259,58.2409,53.8495,12.3543,0.335719,0.41628100000000007,0.752,0.326823
