Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kerry Carpenter","DET",128.799,534.443,484.869,124.914,76.5064,23.3084,2.36823,22.7313,66.1066,72.4734,37.8657,2.63595,131.119,8.34713,3.2291,0.132236,6.99858,5.51251,2.11981,0.257625,0.0708508,0.245338,0.288788,0.320276,0.456109,0.331702,0.776385,0.198484,4.18436,0.305711,-0.53036,-0.71748,71.0341,5.91527,110.666,-1.24784,-0.358454,5.582335710525513,-12.123145282268524,1.15845,230.80999755859375,3.02154,0.747284,0.368515,"25961"
"Mike Yastrzemski","SFG",117.675,470.499,409.472,93.8813,51.6647,23.5414,1.74966,16.9256,59.1895,54.4625,51.2538,1.8907,119.911,5.16426,3.15799,1.45126,5.10786,3.50742,1.22894,0.229274,0.108935,0.254859,0.427432,0.320435,0.419318,0.320326,0.739753,0.190044,4.06679,0.279034,0.134599,-0.635447,58.09,0.762491,101.507,-0.500848,0.31169,0.36335599422454834,-4.837713301181793,1.14982,520.1900024414062,1.53118,-0.151859,0.372543,"14854"
"Ramón Laureano","CLE",104.985,435.754,388.434,90.1887,54.9629,20.2223,2.0072,12.9963,52.7566,47.5938,34.1175,0.236444,117.11,11.0291,1.92703,0.246665,7.49757,12.2763,3.41916,0.232185,0.0782953,0.268752,0.291329,0.310753,0.394956,0.308861,0.705709,0.162771,5.5849,0.296603,-0.311653,0.242582,49.6513,-3.44282,97.2331,-0.0690706,1.99015,-1.5137175768613815,-1.7749443054199219,1.14839,447.8900146484375,4.54874,-0.538051,0.668872,"17128"
"Kyle Isbel","KCR",106.456,398.653,364.386,88.5968,55.3272,20.4902,3.17569,9.60376,50.3163,41.1807,27.0915,0.488252,83.4414,3.5584,2.35202,1.26554,5.66714,11.2274,3.22404,0.24314,0.0679576,0.209308,0.324677,0.300076,0.395871,0.301434,0.695947,0.152731,6.22955,0.288619,0.200911,0.225975,42.9648,-5.60884,88.6311,0.426886,1.18203,-5.095775872468948,2.8248751163482666,1.12583,521.3400268554688,4.86484,-1.00191,0.779707,"21614"
"LaMonte Wade Jr.","SFG",116.143,471.062,399.219,96.7639,62.1795,16.9283,1.7062,15.9499,57.9049,50.9691,58.9664,1.7761,90.8832,6.67165,3.04851,3.1563,6.10363,2.52553,0.835803,0.242383,0.125178,0.192932,0.648816,0.347083,0.413192,0.332987,0.760275,0.170809,3.60117,0.273543,-0.528149,-0.818834,63.1126,5.71645,110.136,-1.34698,-0.225305,4.471302270889282,-9.238881096243858,1.12249,391.32000732421875,1.0757,-0.112326,0.237204,"18126"
"Brent Rooker","OAK",127.639,518.744,458.054,104.657,58.4596,20.6463,1.01262,24.5385,59.4471,66.635,47.7306,1.38291,169.76,9.47685,3.14364,0.338612,8.82881,3.56032,0.929803,0.228482,0.0920119,0.327253,0.281165,0.312235,0.438691,0.323336,0.750926,0.210209,3.23471,0.300183,-0.234924,-0.56096,65.3432,2.13726,109.797,-0.795884,-0.800017,5.293452143669128,-11.695887684822083,1.11906,306.8699951171875,1.83749,0.939067,0.836469,"19627"
"Dylan Carlson","STL",90.8702,358.628,313.803,78.299,49.6892,18.0366,2.03917,8.53403,42.8503,38.7471,35.0764,0.691817,70.7311,5.97113,3.29218,0.484612,5.54015,3.52593,0.992371,0.249516,0.0978071,0.197227,0.495911,0.333237,0.401576,0.321306,0.734813,0.15206,4.55141,0.293339,0.0693781,-0.407479,44.5698,0.873139,102.175,-0.338101,0.157892,0.6125667691230774,-1.5950068086385727,1.11854,561.739990234375,2.51775,-0.714028,0.752407,"20126"
"Jon Berti","MIA",94.1316,360.031,322.435,83.7851,61.6429,14.4844,2.203,5.45488,44.4491,29.27,31.0081,0.567819,72.2259,3.20986,2.1567,1.22169,6.79373,19.2428,4.7499,0.259852,0.0861262,0.20061,0.429321,0.328874,0.369192,0.307947,0.698066,0.10934,6.40335,0.317242,0.472666,1.10948,40.7497,-3.11794,91.1262,1.58215,0.338387,-2.3758023977279663,1.2986113727092743,1.11535,442.6300048828125,2.21873,-1.11238,1.52994,"12037"
"Travis d'Arnaud","ATL",81.8259,324.352,296.712,73.1293,45.995,14.9757,0.771735,11.3869,38.8459,42.8346,21.408,0.0843475,73.8888,4.51588,1.48543,0.230628,6.83895,0.108688,0.250868,0.246465,0.0660024,0.227804,0.289733,0.305605,0.41727,0.312826,0.722875,0.170804,2.28787,0.289977,-0.576839,-0.637643,38.0258,-1.49463,93.4351,-1.21448,1.56601,-3.852399468421936,3.9723775386810303,1.11355,392.7300109863281,1.84939,1.43568,0.684402,"7739"
"Andrew Vaughn","CHW",143.057,595.08,541.403,141.173,89.1982,28.9085,1.23004,21.8362,68.3738,76.1173,39.4355,0.506295,116.939,9.43418,4.24218,0.565846,12.8464,0.189929,0.258298,0.260754,0.0662693,0.19651,0.337231,0.31966,0.439691,0.327113,0.759351,0.178937,2.05914,0.293305,-1.19106,-1.13097,76.8257,4.31857,106.133,-2.32202,-0.152348,2.1251955032348633,-11.337867721915245,1.09992,241.7100067138672,2.68641,-1.00006,0.603223,"26197"
"René Pinto","TBR",101.318,357.104,336.212,76.5248,45.5118,16.6111,0.649492,13.7524,35.8163,43.3695,16.1044,0.162361,117.368,2.85664,1.33918,0.591682,5.79185,1.27878,0.452015,0.227609,0.0450972,0.328666,0.137213,0.267833,0.403591,0.287847,0.671424,0.175982,2.82004,0.304084,-0.144497,-0.430549,34.4572,-9.05386,79.3707,-0.575046,0.577298,-9.551707804203033,8.395051121711731,1.096,358.17999267578125,1.82385,0.271748,0.649739,"19859"
"Brice Turang","MIL",119.382,461.993,414.102,100.247,71.1808,18.1318,2.75578,8.17868,51.2363,42.851,40.6806,0.927147,94.1506,1.70608,2.92286,2.58178,6.60956,20.6982,4.08139,0.242083,0.0880546,0.203792,0.43208,0.310471,0.35843,0.294424,0.668901,0.116347,6.14629,0.292564,-0.763831,1.54906,47.1016,-9.18952,82.2833,0.785233,2.61879,-9.354732155799866,4.571096897125244,1.09204,336.7099914550781,2.54485,-0.887743,1.18204,"22186"
